,name,u,v
286,South Francisco Avenue,261164012,261164013
287,South Francisco Avenue,261164012,261164011
288,West 36th Street,261164012,261259857
289,West 36th Street,261164012,261179923
290,South Francisco Avenue,261164013,261164012
291,West 36th Place,261164013,261213565
292,West 36th Place,261164013,261142047
293,West 38th Street,261164014,261204050
294,West 38th Street,261164014,261142051
295,West 38th Place,261164015,261313928
296,South Francisco Avenue,261164015,261164014
297,West Pershing Road,261164016,261193999
298,West Pershing Road,261164016,261142053
299,South Francisco Avenue,261164016,261164015
300,West 39th Place,261164017,261256915
301,South Francisco Avenue,261164017,261164016
302,West 39th Place,261164017,7625126088
303,South Francisco Avenue,261164018,261164017
304,West 40th Street,261164018,261142055
305,South Francisco Avenue,261164019,261164018
306,West 40th Place,261164019,261179926
307,West 41st Place,261167116,261167118
308,South Sacramento Avenue,261167116,261163820
309,South Sacramento Avenue,261167116,261297090
310,South Albany Avenue,261167118,261297091
311,West 41st Place,261167118,261131967
312,West 41st Place,261167118,261167116
313,West 38th Street,261169865,261204053
314,South Homan Avenue,261169865,261169866
315,West 38th Street,261169865,261116699
316,South Homan Avenue,261169865,261154072
317,West 38th Place,261169866,261116700
318,West 38th Place,261169866,261213371
319,South Homan Avenue,261169866,261169865
320,South Homan Avenue,261169866,261169867
321,West Pershing Road,261169867,261116701
322,West Pershing Road,261169867,261194003
323,South Homan Avenue,261169867,261169866
324,South Homan Avenue,261169909,418461925
325,West 46th Street,261169909,261184337
326,West 46th Street,261169909,261272709
327,South Homan Avenue,261170061,261170062
328,West 43rd Street,261170061,261184375
329,West 43rd Street,261170061,261302410
330,South Homan Avenue,261170062,261170064
331,West 44th Street,261170062,261184376
332,West 44th Street,261170062,261302411
333,West 45th Street,261170064,261184377
334,South Homan Avenue,261170064,5485497436
335,South Maplewood Avenue,261170347,261349989
336,West 35th Street,261170347,261170349
337,South Rockwell Street,261170349,261293039
338,West 35th Street,261170349,261170350
339,West 35th Street,261170349,261170347
340,South Washtenaw Avenue,261170350,261271623
341,West 35th Street,261170350,261142044
342,West 35th Street,261170350,261170349
343,South Mozart Street,261170352,261259857
344,West 35th Street,261170352,261164011
345,West 35th Street,261170352,5087655873
346,South Richmond Street,261179908,261179909
347,West Pope John Paul II Drive,261179908,261313934
348,South Richmond Street,261179909,261179910
349,West 44th Street,261179909,261309002
350,West 44th Street,261179909,261163989
351,South Richmond Street,261179910,261179911
352,West 45th Street,261179910,261163990
353,West 45th Street,261179910,261223150
354,South Richmond Street,261179911,418460432
355,West 46th Street,261179911,261272707
356,West 46th Street,261179911,261163991
357,"['South Richmond Street', 'West 35th Street']",261179923,261164011
358,West 36th Street,261179923,261164012
359,West 36th Street,261179923,261340477
360,South Richmond Street,261179926,261179927
361,West 40th Place,261179926,261202670
362,South Richmond Street,261179927,418467021
363,South Trumbull Avenue,261184337,418462530
364,West 46th Street,261184337,261169909
365,West 43rd Street,261184375,261116784
366,West 43rd Street,261184375,261170061
367,South Trumbull Avenue,261184376,261184375
368,West 44th Street,261184376,261116785
369,West 44th Street,261184376,261170062
370,South Trumbull Avenue,261184377,261184376
371,West 45th Street,261184377,261116786
372,West 45th Street,261184377,261170064
373,South Trumbull Avenue,261184377,418463721
374,South Western Boulevard,261193981,2293275898
375,West Pershing Road,261193981,261193986
376,West Pershing Road,261193986,261193981
377,South Western Avenue,261193986,261295797
378,West Pershing Road,261193986,6823889649
379,West Pershing Road,261193991,261193993
380,West Pershing Road,261193991,6823889649
381,South Artesian Avenue,261193991,261222149
382,West Pershing Road,261193993,261193991
383,South Campbell Avenue,261193993,418469311
384,West Pershing Road,261193993,261193994
385,South Rockwell Street,261193994,418468961
386,West Pershing Road,261193994,256180994
387,South Rockwell Street,261193994,261256913
388,West Pershing Road,261193994,261193993
389,West Pershing Road,261193998,261142053
390,West Pershing Road,261193998,256180994
391,West Pershing Road,261193999,261194001
392,West Pershing Road,261193999,261164016
393,South Sacramento Avenue,261193999,261313928
394,South Sacramento Avenue,261193999,261256915
395,West Pershing Road,261194001,261131993
396,West Pershing Road,261194001,261193999
397,South Albany Avenue,261194001,261335643
398,South Spaulding Avenue,261194003,261213371
399,West Pershing Road,261194003,261169867
400,West Pershing Road,261194003,261131993
401,South Whipple Street,261194740,261194741
402,West Pope John Paul II Drive,261194740,261336595
403,South Whipple Street,261194741,261194742
404,West 44th Street,261194741,261309004
405,West 44th Street,261194741,261309002
406,South Whipple Street,261194742,261194743
407,West 45th Street,261194742,261223150
408,West 45th Street,261194742,261223151
409,South Whipple Street,261194743,418460744
410,West 46th Street,261194743,261272708
411,West 46th Street,261194743,261272707
412,West 43rd Street,261198056,261116784
413,South Drake Avenue,261198057,386448200
414,West 44th Street,261198057,261116785
415,South Drake Avenue,261198058,261198057
416,West 45th Street,261198058,261116786
417,South Sawyer Avenue,261199215,418463163
